Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
704820,17620,,W,WELBY,WAY,,91406,12/4/2015,,180B129   144,GENERAL,South Valley,,O,34.19251,-118.51701,2015
705233,6600,,N,CHIMINEAS,AVE,,91335,12/10/2015,,180B125   440,GENERAL,South Valley,,O,34.19046,-118.52821,2015
705700,14829,,W,OXNARD,ST,,91411,12/18/2015,,177A149    98,GENERAL,South Valley,,O,34.17955,-118.45632,2015
705701,17244,,W,LEMAY,ST,,91406,12/18/2015,,180B133   186,GENERAL,South Valley,,O,34.19102,-118.50924,2015
705784,4800,,W,VENICE,BLVD,,90019,12/18/2015,,129B181  1186,GENERAL,South Los Angeles,,O,34.04635,-118.34071,2015
406285,5800,,W,3RD,ST,,90036,2/15/2011,,135B181   177,GENERAL,Central,,O,34.06889,-118.34641,2011
406424,6552,,N,BUFFALO,AVE,,91401,2/16/2011,,180B157   534,GENERAL,South Valley,,O,34.18982,-118.43002,2011
407245,8426,,S,BROADWAY,,,90003,2/24/2011,,097-5A203 104,GENERAL,South Los Angeles,,O,33.96254,-118.27808,2011
407089,4136,,S,ALLA,ROAD,,90066,2/22/2011,,108B153   733,GENERAL,West Los Angeles,,O,33.99192,-118.43681,2011
407115,4060,,N,SUMAC,DR,,91403,2/23/2011,,162B149    77,GENERAL,South Valley,,O,34.144,-118.44918,2011
407253,5840,,S,LOS ANGELES,ST,,90003,2/24/2011,,108B205  1190,GENERAL,South Los Angeles,,O,33.98863,-118.27041,2011
407136,1172,,W,29TH,ST,,90007,2/23/2011,,121-5A201  73,CNAP,South Los Angeles,,O,34.02828,-118.28589,2011
407163,4426,,S,VERMONT,AVE,,90037,2/23/2011,,111B197   241,GENERAL,South Los Angeles,,O,34.00286,-118.29133,2011
407275,6075,,W,RODGERTON,DR,,90068,2/24/2011,,157-5A191  74,CNAP,Central,,O,34.12552,-118.31961,2011
407283,8917,,S,RUTHELEN,ST,,90047,2/24/2011,,096A193   226,GENERAL,South Los Angeles,,O,33.95577,-118.31241,2011
407525,1137,,W,51ST,PL,,90037,2/28/2011,,111B197  1400,GENERAL,South Los Angeles,,O,33.99609,-118.295,2011
407596,150,,W,49TH,ST,,90037,2/28/2011,,111A203   222,GENERAL,South Los Angeles,,O,33.99822,-118.27576,2011
407630,7333,,W,PACIFIC VIEW,DR,,90068,3/1/2011,,156A181   481,GENERAL,South Valley,,O,34.12128,-118.35298,2011
707744,18029,,W,VANOWEN,ST,,91335,1/9/2016,,183B125   986,GENERAL,South Valley,,O,34.194,-118.52594,2016
707929,136,,W,52ND,PL,,90037,1/11/2016,,108B201   326,GENERAL,South Los Angeles,,O,33.99457,-118.27534,2016
708586,9921,,N,TOPANGA CANYON,BLVD,,91311,1/14/2016,,201B101    82,GENERAL,North Valley,,O,34.25043,-118.60628,2016
